ID,First_Name,Birth_Year,Gender,Total_Named
129,Delilah,2014,F,2496
130,Kendall,2014,F,2432
131,Kinsley,2014,F,2429
132,Ariel,2014,F,2419
133,Payton,2014,F,2397
134,Paige,2014,F,2395
135,Mariah,2014,F,2383
136,Brooke,2014,F,2375
137,Willow,2014,F,2373
138,Jade,2014,F,2369
139,Lyla,2014,F,2368
140,Mya,2014,F,2367
141,Ximena,2014,F,2323
142,Luna,2014,F,2314
143,Isabel,2014,F,2313
144,Mckenzie,2014,F,2303
145,Ivy,2014,F,2269
146,Josephine,2014,F,2255
147,Amy,2014,F,2178
148,Laila,2014,F,2133
149,Isla,2014,F,2122
150,Eden,2014,F,2117
151,Adalyn,2014,F,2105
152,Angelina,2014,F,2105
153,Londyn,2014,F,2081
154,Rachel,2014,F,2051
155,Melody,2014,F,2048
156,Juliana,2014,F,2045
157,Kaitlyn,2014,F,2044
158,Brooklynn,2014,F,2043
159,Destiny,2014,F,2043
160,Emery,2014,F,2026
161,Gracie,2014,F,2021
162,Norah,2014,F,1994
163,Emilia,2014,F,1989
164,Reese,2014,F,1960
165,Elise,2014,F,1959
166,Sara,2014,F,1949
167,Aliyah,2014,F,1947
168,Margaret,2014,F,1933
169,Catherine,2014,F,1923
170,Vanessa,2014,F,1913
171,Katelyn,2014,F,1910
172,Gabrielle,2014,F,1902
173,Arabella,2014,F,1894
174,Valeria,2014,F,1882
175,Valerie,2014,F,1871
176,Adriana,2014,F,1861
177,Everly,2014,F,1854
178,Jessica,2014,F,1779
179,Daisy,2014,F,1769
180,Makenzie,2014,F,1766
181,Summer,2014,F,1759
182,Lila,2014,F,1758
183,Rebecca,2014,F,1758
184,Julianna,2014,F,1756
185,Callie,2014,F,1751
186,Michelle,2014,F,1737
187,Ryleigh,2014,F,1735
188,Presley,2014,F,1733
189,Alaina,2014,F,1729
190,Angela,2014,F,1722
191,Alina,2014,F,1706
192,Harmony,2014,F,1704
193,Rose,2014,F,1678
194,Athena,2014,F,1677
195,Emerson,2014,F,1670
196,Adelyn,2014,F,1666
197,Alana,2014,F,1664
198,Hayden,2014,F,1656
199,Izabella,2014,F,1653
200,Cali,2014,F,1652
201,Marley,2014,F,1643
202,Esther,2014,F,1638
203,Fiona,2014,F,1636
204,Stephanie,2014,F,1630
205,Cecilia,2014,F,1623
206,Kate,2014,F,1611
207,Kinley,2014,F,1610
208,Jayla,2014,F,1609
209,Genevieve,2014,F,1595
210,Alexandria,2014,F,1589
211,Eliza,2014,F,1585
212,Kylee,2014,F,1580
213,Alivia,2014,F,1579
214,Giselle,2014,F,1573
215,Arya,2014,F,1544
216,Alayna,2014,F,1533
217,Leilani,2014,F,1532
218,Adeline,2014,F,1522
219,Jennifer,2014,F,1514
220,Tessa,2014,F,1510
221,Ana,2014,F,1508
222,Finley,2014,F,1498
223,Melissa,2014,F,1496
224,Daniela,2014,F,1486
225,Aniyah,2014,F,1479
226,Daleyza,2014,F,1461
227,Keira,2014,F,1459
228,Charlie,2014,F,1432
229,Lucia,2014,F,1421
230,Hope,2014,F,1412
231,Gabriela,2014,F,1403
232,Mckenna,2014,F,1388
233,Brynlee,2014,F,1387
234,Parker,2014,F,1386
235,Lola,2014,F,1370
236,Amaya,2014,F,1349
237,Miranda,2014,F,1348
238,Maggie,2014,F,1344
239,Anastasia,2014,F,1328
240,Leila,2014,F,1324
241,Lexi,2014,F,1320
242,Georgia,2014,F,1319
243,Kenzie,2014,F,1317
244,Iris,2014,F,1312
245,Jacqueline,2014,F,1301
246,Jordan,2014,F,1300
247,Cassidy,2014,F,1294
248,Vivienne,2014,F,1289
249,Camille,2014,F,1280
250,Noelle,2014,F,1280
251,Adrianna,2014,F,1272
252,Teagan,2014,F,1272
253,Josie,2014,F,1269
254,Juliette,2014,F,1268
255,Annabella,2014,F,1265
256,Allie,2014,F,1263
257,Juliet,2014,F,1263
258,Kendra,2014,F,1262
259,Sienna,2014,F,1255
260,Brynn,2014,F,1253
261,Kali,2014,F,1247
262,Maci,2014,F,1235
263,Danielle,2014,F,1233
264,Haley,2014,F,1223
265,Jenna,2014,F,1223
266,Raelynn,2014,F,1222
267,Delaney,2014,F,1220
268,Paris,2014,F,1218
269,Alexia,2014,F,1213
270,Lyric,2014,F,1210
271,Gemma,2014,F,1205
272,Lilliana,2014,F,1203
273,Chelsea,2014,F,1191
274,Angel,2014,F,1179
275,Evangeline,2014,F,1177
276,Ayla,2014,F,1169
277,Kayleigh,2014,F,1160
278,Lena,2014,F,1156
279,Katie,2014,F,1149
280,Elaina,2014,F,1145
281,Olive,2014,F,1144
282,Madeleine,2014,F,1138
283,Makenna,2014,F,1138
284,Dakota,2014,F,1136
285,Elsa,2014,F,1131
286,Nova,2014,F,1121
287,Nadia,2014,F,1119
288,Alison,2014,F,1115
289,Kaydence,2014,F,1111
290,Journey,2014,F,1110
291,Jada,2014,F,1107
292,Kathryn,2014,F,1107
293,Shelby,2014,F,1101
294,Nina,2014,F,1091
295,Elliana,2014,F,1089
296,Diana,2014,F,1088
297,Phoebe,2014,F,1086
298,Alessandra,2014,F,1078
299,Eloise,2014,F,1074
300,Nyla,2014,F,1074
301,Skyler,2014,F,1070
302,Madilyn,2014,F,1067
303,Adelynn,2014,F,1058
304,Miriam,2014,F,1057
305,Ashlyn,2014,F,1055
306,Amiyah,2014,F,1051
307,Megan,2014,F,1051
308,Amber,2014,F,1049
309,Rosalie,2014,F,1047
310,Annie,2014,F,1046
311,Lilah,2014,F,1044
312,Charlee,2014,F,1043
313,Amanda,2014,F,1042
314,Ruth,2014,F,1042
315,Adelaide,2014,F,1040
316,June,2014,F,1039
317,Laura,2014,F,1038
318,Daniella,2014,F,1032
319,Mikayla,2014,F,1026
320,Raegan,2014,F,1019
321,Jane,2014,F,1018
322,Ashlynn,2014,F,1015
323,Kelsey,2014,F,1014
324,Erin,2014,F,1013
325,Christina,2014,F,1012
326,Joanna,2014,F,1010
327,Fatima,2014,F,1009
328,Allyson,2014,F,1008
329,Talia,2014,F,1006
330,Mariana,2014,F,1004
331,Sabrina,2014,F,1003
332,Haven,2014,F,1002
333,Ainsley,2014,F,998
334,Cadence,2014,F,998
335,Elsie,2014,F,998
336,Leslie,2014,F,994
337,Heaven,2014,F,984
338,Arielle,2014,F,978
339,Maddison,2014,F,977
340,Alicia,2014,F,967
341,Briella,2014,F,967
342,Lucille,2014,F,966
343,Sawyer,2014,F,955
344,Malia,2014,F,948
345,Selena,2014,F,947
346,Heidi,2014,F,944
347,Kyleigh,2014,F,941
348,Harley,2014,F,940
349,Kira,2014,F,939
350,Lana,2014,F,934
351,Sierra,2014,F,932
352,Kiara,2014,F,920
353,Paislee,2014,F,915
354,Alondra,2014,F,913
355,Daphne,2014,F,913
356,Carly,2014,F,909
357,Jaylah,2014,F,909
358,Kyla,2014,F,909
359,Bianca,2014,F,901
360,Baylee,2014,F,896
361,Cheyenne,2014,F,896
362,Macy,2014,F,887
363,Camilla,2014,F,883
364,Catalina,2014,F,883
365,Gia,2014,F,881
366,Vera,2014,F,881
367,Skye,2014,F,880
368,Aylin,2014,F,878
369,Sloane,2014,F,874
370,Myla,2014,F,873
371,Yaretzi,2014,F,871
372,Giuliana,2014,F,868
373,Macie,2014,F,868
374,Veronica,2014,F,864
375,Esmeralda,2014,F,862
376,Lia,2014,F,855
377,Averie,2014,F,852
378,Addyson,2014,F,851
379,Kamryn,2014,F,850
380,Mckinley,2014,F,850
381,Ada,2014,F,847
382,Carmen,2014,F,846
383,Mallory,2014,F,845
384,Jillian,2014,F,844
385,Ariella,2014,F,839
386,Rylie,2014,F,835
387,Sage,2014,F,834
388,Abby,2014,F,830
389,Scarlet,2014,F,829
390,Logan,2014,F,828
391,Tatum,2014,F,828
392,Bethany,2014,F,824
393,Dylan,2014,F,822
394,Elle,2014,F,818
395,Jazmin,2014,F,817
396,Aspen,2014,F,812
397,Camryn,2014,F,810
398,Malaysia,2014,F,810
399,Haylee,2014,F,807
400,Nayeli,2014,F,805
401,Gracelyn,2014,F,799
402,Kamila,2014,F,792
403,Helen,2014,F,791
404,Marilyn,2014,F,791
405,April,2014,F,790
406,Carolina,2014,F,779
407,Amina,2014,F,776
408,Julie,2014,F,776
409,Raelyn,2014,F,776
410,Blakely,2014,F,771
411,Rowan,2014,F,770
412,Angelique,2014,F,768
413,Miracle,2014,F,768
414,Emely,2014,F,764
415,Jayleen,2014,F,764
416,Kennedi,2014,F,764
417,Amira,2014,F,762
418,Briana,2014,F,761
419,Gwendolyn,2014,F,756
420,Justice,2014,F,756
421,Zara,2014,F,754
422,Aleah,2014,F,752
423,Itzel,2014,F,752
424,Bristol,2014,F,749
425,Francesca,2014,F,748
426,Emersyn,2014,F,742
427,Aubrie,2014,F,738
428,Karina,2014,F,736
429,Nylah,2014,F,735
430,Kelly,2014,F,734
431,Anaya,2014,F,733
432,Maliyah,2014,F,733
433,Evelynn,2014,F,731
434,Ember,2014,F,729
435,Melany,2014,F,729
436,Angelica,2014,F,727
437,Jimena,2014,F,725
438,Madelynn,2014,F,725
439,Kassidy,2014,F,724
440,Tiffany,2014,F,724
441,Kara,2014,F,723
442,Jazmine,2014,F,722
443,Jayda,2014,F,721
444,Dahlia,2014,F,719
445,Alejandra,2014,F,715
446,Sarai,2014,F,710
447,Annabel,2014,F,709
448,Holly,2014,F,708
449,Janelle,2014,F,707
450,Braelyn,2014,F,705
451,Gracelynn,2014,F,705
452,River,2014,F,703
453,Viviana,2014,F,703
454,Serena,2014,F,696
455,Brittany,2014,F,694
456,Annalise,2014,F,693
457,Brinley,2014,F,692
458,Madisyn,2014,F,690
459,Eve,2014,F,688
460,Cataleya,2014,F,687
461,Joy,2014,F,687
462,Caitlyn,2014,F,686
463,Anabelle,2014,F,681
464,Emmalyn,2014,F,681
465,Journee,2014,F,675
466,Celeste,2014,F,674
467,Brylee,2014,F,670
468,Luciana,2014,F,670
469,Marlee,2014,F,668
470,Savanna,2014,F,668
471,Anya,2014,F,667
472,Marissa,2014,F,667
473,Jazlyn,2014,F,663
474,Zuri,2014,F,660
475,Kailey,2014,F,659
476,Crystal,2014,F,657
477,Michaela,2014,F,654
478,Lorelei,2014,F,651
479,Guadalupe,2014,F,650
480,Madilynn,2014,F,649
481,Maeve,2014,F,647
482,Hanna,2014,F,645
483,Priscilla,2014,F,645
484,Kyra,2014,F,643
485,Lacey,2014,F,643
486,Nia,2014,F,642
487,Charley,2014,F,634
488,Jamie,2014,F,633
489,Juniper,2014,F,633
490,Cynthia,2014,F,630
491,Karen,2014,F,630
492,Sylvia,2014,F,630
493,Phoenix,2014,F,629
494,Aleena,2014,F,628
495,Caitlin,2014,F,625
496,Felicity,2014,F,620
497,Elisa,2014,F,617
498,Julissa,2014,F,617
499,Rebekah,2014,F,617
500,Evie,2014,F,615
501,Helena,2014,F,614
502,Imani,2014,F,614
503,Karla,2014,F,614
504,Millie,2014,F,612
505,Lilian,2014,F,611
506,Raven,2014,F,608
507,Harlow,2014,F,605
508,Leia,2014,F,605
509,Ryan,2014,F,603
510,Kailyn,2014,F,602
511,Lillie,2014,F,601
512,Amara,2014,F,600
513,Kadence,2014,F,600
514,Lauryn,2014,F,596
515,Cassandra,2014,F,593
516,Kaylie,2014,F,590
517,Madalyn,2014,F,590
518,Anika,2014,F,589
519,Hayley,2014,F,588
520,Bria,2014,F,587
521,Colette,2014,F,587
522,Henley,2014,F,587
523,Amari,2014,F,585
524,Regina,2014,F,583
525,Alanna,2014,F,582
526,Azalea,2014,F,582
527,Fernanda,2014,F,582
528,Jaliyah,2014,F,582
529,Anabella,2014,F,581
530,Adelina,2014,F,580
531,Lilyana,2014,F,580
532,Skyla,2014,F,580
533,Addisyn,2014,F,577
534,Zariah,2014,F,576
535,Bridget,2014,F,574
536,Braylee,2014,F,572
537,Monica,2014,F,572
538,Jayden,2014,F,569
539,Leighton,2014,F,568
540,Gloria,2014,F,566
541,Johanna,2014,F,564
542,Addilyn,2014,F,563
543,Danna,2014,F,563
544,Selah,2014,F,563
545,Aryanna,2014,F,561
546,Kaylin,2014,F,561
547,Aniya,2014,F,560
548,Willa,2014,F,559
549,Angie,2014,F,558
550,Kaia,2014,F,558
551,Kaliyah,2014,F,557
552,Anne,2014,F,556
553,Tiana,2014,F,556
554,Charleigh,2014,F,555
555,Winter,2014,F,553
556,Danica,2014,F,550
557,Alayah,2014,F,548
558,Aisha,2014,F,543
559,Bailee,2014,F,543
560,Kenley,2014,F,542
561,Aileen,2014,F,540
562,Lexie,2014,F,540
563,Janiyah,2014,F,538
564,Braelynn,2014,F,537
565,Liberty,2014,F,537
566,Katelynn,2014,F,535
567,Mariam,2014,F,535
568,Sasha,2014,F,535
569,Lindsey,2014,F,534
570,Montserrat,2014,F,533
571,Cecelia,2014,F,530
572,Mikaela,2014,F,530
573,Kaelyn,2014,F,529
574,Rosemary,2014,F,529
575,Annika,2014,F,528
576,Tatiana,2014,F,526
577,Cameron,2014,F,524
578,Marie,2014,F,523
579,Dallas,2014,F,522
580,Virginia,2014,F,519
581,Liana,2014,F,517
582,Matilda,2014,F,517
583,Freya,2014,F,512
584,Lainey,2014,F,511
585,Hallie,2014,F,509
586,Jessie,2014,F,504
587,Audrina,2014,F,500
588,Blake,2014,F,499
589,Hattie,2014,F,497
590,Monserrat,2014,F,496
591,Kiera,2014,F,494
592,Laylah,2014,F,493
593,Greta,2014,F,492
594,Alyson,2014,F,491
595,Emilee,2014,F,490
596,Maryam,2014,F,490
597,Melina,2014,F,489
598,Dayana,2014,F,488
599,Jaelynn,2014,F,487
600,Beatrice,2014,F,482
601,Frances,2014,F,481
602,Elisabeth,2014,F,479
603,Saige,2014,F,478
604,Kensley,2014,F,477
605,Meredith,2014,F,475
606,Aranza,2014,F,473
607,Rosa,2014,F,473
608,Shiloh,2014,F,472
609,Charli,2014,F,471
610,Elyse,2014,F,471
611,Alani,2014,F,470
612,Mira,2014,F,469
613,Lylah,2014,F,467
614,Linda,2014,F,466
615,Whitney,2014,F,463
616,Alena,2014,F,462
617,Jaycee,2014,F,461
618,Joselyn,2014,F,460
619,Ansley,2014,F,459
620,Kynlee,2014,F,459
621,Miah,2014,F,459
622,Tenley,2014,F,457
623,Breanna,2014,F,454
624,Emelia,2014,F,454
625,Maia,2014,F,454
626,Edith,2014,F,452
627,Pearl,2014,F,451
628,Anahi,2014,F,450
629,Coraline,2014,F,450
630,Samara,2014,F,450
631,Demi,2014,F,449
632,Chanel,2014,F,448
633,Kimber,2014,F,447
634,Lilith,2014,F,447
635,Malaya,2014,F,446
636,Jemma,2014,F,445
637,Myra,2014,F,444
638,Bryanna,2014,F,443
639,Laney,2014,F,443
640,Jaelyn,2014,F,442
641,Kaylynn,2014,F,442
642,Kallie,2014,F,440
643,Natasha,2014,F,439
644,Nathalie,2014,F,439
645,Perla,2014,F,439
646,Amani,2014,F,437
647,Lilianna,2014,F,437
648,Madalynn,2014,F,436
649,Blair,2014,F,435
650,Elianna,2014,F,434
651,Karsyn,2014,F,433
652,Lindsay,2014,F,433
653,Elaine,2014,F,432
654,Dulce,2014,F,431
655,Ellen,2014,F,431
656,Erica,2014,F,431
657,Maisie,2014,F,431
658,Renata,2014,F,431
659,Kiley,2014,F,430
660,Marina,2014,F,430
661,Remi,2014,F,429
662,Emmy,2014,F,428
663,Ivanna,2014,F,426
664,Amirah,2014,F,425
665,Livia,2014,F,425
666,Amelie,2014,F,424
667,Irene,2014,F,424
668,Mabel,2014,F,424
669,Milan,2014,F,424
670,Armani,2014,F,422
671,Cara,2014,F,421
672,Ciara,2014,F,418
673,Kathleen,2014,F,418
674,Jaylynn,2014,F,416
675,Caylee,2014,F,415
676,Lea,2014,F,415
677,Erika,2014,F,414
678,Paola,2014,F,413
679,Alma,2014,F,412
680,Courtney,2014,F,412
681,Mae,2014,F,412
682,Kassandra,2014,F,410
683,Maleah,2014,F,410
684,Remington,2014,F,410
685,Leyla,2014,F,409
686,Mina,2014,F,408
687,Ariah,2014,F,407
688,Christine,2014,F,407
689,Jasmin,2014,F,407
690,Kora,2014,F,407
691,Chaya,2014,F,406
692,Karlee,2014,F,406
693,Lailah,2014,F,405
694,Mara,2014,F,404
695,Jaylee,2014,F,402
696,Raquel,2014,F,402
697,Siena,2014,F,401
698,Lennon,2014,F,399
699,Desiree,2014,F,398
700,Hadassah,2014,F,398
701,Kenya,2014,F,398
702,Aliana,2014,F,397
703,Wren,2014,F,397
704,Amiya,2014,F,396
705,Isis,2014,F,396
706,Zaniyah,2014,F,396
707,Avah,2014,F,393
708,Amia,2014,F,392
709,Cindy,2014,F,391
710,Eileen,2014,F,391
711,Kayden,2014,F,391
712,Madyson,2014,F,391
713,Celine,2014,F,389
714,Aryana,2014,F,388
715,Everleigh,2014,F,388
716,Isabela,2014,F,387
717,Reyna,2014,F,386
718,Teresa,2014,F,386
719,Jolene,2014,F,385
720,Marjorie,2014,F,385
721,Myah,2014,F,385
722,Clare,2014,F,383
723,Claudia,2014,F,383
724,Leanna,2014,F,382
725,Noemi,2014,F,382
726,Corinne,2014,F,381
727,Simone,2014,F,381
728,Alia,2014,F,380
729,Brenda,2014,F,380
730,Dorothy,2014,F,380
731,Emilie,2014,F,380
732,Elin,2014,F,379
733,Tori,2014,F,378
734,Martha,2014,F,377
735,Ally,2014,F,376
736,Arely,2014,F,376
737,Leona,2014,F,376
738,Patricia,2014,F,376
739,Sky,2014,F,376
740,Thalia,2014,F,375
741,Carolyn,2014,F,374
742,Emory,2014,F,373
743,Nataly,2014,F,373
744,Paityn,2014,F,373
745,Shayla,2014,F,373
746,Averi,2014,F,372
747,Jazlynn,2014,F,372
748,Margot,2014,F,372
749,Lisa,2014,F,371
750,Lizbeth,2014,F,370
751,Nancy,2014,F,369
752,Deborah,2014,F,368
753,Ivory,2014,F,368
754,Khaleesi,2014,F,368
755,Elliot,2014,F,367
756,Meadow,2014,F,367
757,Yareli,2014,F,367
758,Farrah,2014,F,366
759,Milania,2014,F,366
760,Janessa,2014,F,365
761,Milana,2014,F,365
762,Zoie,2014,F,363
763,Adele,2014,F,362
764,Clarissa,2014,F,362
765,Hunter,2014,F,362
766,Lina,2014,F,362
767,Oakley,2014,F,362
768,Sariah,2014,F,362
769,Emmalynn,2014,F,361
770,Galilea,2014,F,361
771,Hailee,2014,F,361
772,Halle,2014,F,361
773,Sutton,2014,F,361
774,Giana,2014,F,359
775,Thea,2014,F,359
776,Denise,2014,F,358
777,Naya,2014,F,358
778,Kristina,2014,F,357
779,Liv,2014,F,357
780,Nathaly,2014,F,357
781,Wendy,2014,F,357
782,Aubrielle,2014,F,355
783,Brenna,2014,F,355
784,Carter,2014,F,355
785,Danika,2014,F,355
786,Monroe,2014,F,354
787,Celia,2014,F,353
788,Dana,2014,F,353
789,Jolie,2014,F,353
790,Taliyah,2014,F,353
791,Casey,2014,F,352
792,Miley,2014,F,352
793,Yamileth,2014,F,352
794,Jaylene,2014,F,351
795,Saylor,2014,F,350
796,Joyce,2014,F,349
797,Milena,2014,F,349
798,Zariyah,2014,F,349
799,Sandra,2014,F,348
800,Ariadne,2014,F,347
801,Aviana,2014,F,346
802,Mollie,2014,F,346
803,Cherish,2014,F,345
804,Alaya,2014,F,344
805,Asia,2014,F,344
806,Nola,2014,F,342
807,Penny,2014,F,342
808,Dixie,2014,F,341
809,Marisol,2014,F,341
810,Adrienne,2014,F,339
811,Rylan,2014,F,339
812,Kori,2014,F,338
813,Kristen,2014,F,338
814,Aimee,2014,F,337
815,Esme,2014,F,337
816,Laurel,2014,F,337
817,Aliza,2014,F,336
818,Roselyn,2014,F,336
819,Sloan,2014,F,336
820,Lorelai,2014,F,335
821,Jenny,2014,F,334
822,Katalina,2014,F,334
823,Lara,2014,F,334
824,Amya,2014,F,332
825,Ayleen,2014,F,332
826,Aubri,2014,F,331
827,Ariya,2014,F,330
828,Carlee,2014,F,330
829,Iliana,2014,F,330
830,Magnolia,2014,F,330
831,Aurelia,2014,F,329
832,Elliott,2014,F,329
833,Evalyn,2014,F,329
834,Natalee,2014,F,329
835,Rayna,2014,F,329
836,Heather,2014,F,328
837,Collins,2014,F,327
838,Estrella,2014,F,326
839,Rory,2014,F,326
840,Hana,2014,F,325
841,Kenna,2014,F,325
842,Jordynn,2014,F,324
843,Rosie,2014,F,324
844,Aiyana,2014,F,323
845,America,2014,F,323
846,Angeline,2014,F,323
847,Janiya,2014,F,323
848,Jessa,2014,F,323
849,Tegan,2014,F,323
850,Susan,2014,F,321
851,Emmalee,2014,F,320
852,Taryn,2014,F,320
853,Temperance,2014,F,320
854,Alissa,2014,F,319
855,Kenia,2014,F,319
856,Abbigail,2014,F,318
857,Briley,2014,F,318
858,Kailee,2014,F,318
859,Zaria,2014,F,318
860,Chana,2014,F,316
861,Lillianna,2014,F,316
862,Barbara,2014,F,315
863,Carla,2014,F,315
864,Aliya,2014,F,314
865,Bonnie,2014,F,313
866,Keyla,2014,F,313
867,Marianna,2014,F,313
868,Paloma,2014,F,312
869,Jewel,2014,F,311
870,Joslyn,2014,F,311
871,Saniyah,2014,F,311
872,Audriana,2014,F,310
873,Giovanna,2014,F,310
874,Hadleigh,2014,F,310
875,Mckayla,2014,F,310
876,Jaida,2014,F,309
877,Salma,2014,F,309
878,Sharon,2014,F,309
879,Emmaline,2014,F,308
880,Kimora,2014,F,308
881,Wynter,2014,F,307
882,Avianna,2014,F,306
883,Amalia,2014,F,305
884,Karlie,2014,F,305
885,Kaidence,2014,F,304
886,Kairi,2014,F,304
887,Libby,2014,F,304
888,Sherlyn,2014,F,304
889,Diamond,2014,F,303
890,Holland,2014,F,302
891,Zendaya,2014,F,302
892,Mariyah,2014,F,301
893,Zainab,2014,F,301
894,Alisha,2014,F,300
895,Ayanna,2014,F,300
896,Ellison,2014,F,300
897,Harlee,2014,F,300
898,Lilyanna,2014,F,300
899,Bryleigh,2014,F,299
900,Julianne,2014,F,299
901,Kaleigh,2014,F,299
902,Miya,2014,F,299
903,Yasmin,2014,F,299
904,Anniston,2014,F,298
905,Estelle,2014,F,298
906,Emmeline,2014,F,297
907,Faye,2014,F,297
908,Kiana,2014,F,296
909,Anabel,2014,F,295
910,Zion,2014,F,295
911,Tara,2014,F,294
912,Astrid,2014,F,293
913,Emerie,2014,F,293
914,Sidney,2014,F,292
915,Zahra,2014,F,292
916,Jaylin,2014,F,291
917,Kinslee,2014,F,291
918,Tabitha,2014,F,291
919,Aubriella,2014,F,290
920,Addilynn,2014,F,289
921,Alyvia,2014,F,289
922,Hadlee,2014,F,289
923,Ingrid,2014,F,289
924,Lilia,2014,F,289
925,Macey,2014,F,289
926,Azaria,2014,F,287
927,Kaitlynn,2014,F,287
928,Neriah,2014,F,287
929,Annabell,2014,F,286
930,Ariyah,2014,F,286
931,Janae,2014,F,286
932,Kaiya,2014,F,286
933,Reina,2014,F,286
934,Rivka,2014,F,286
935,Alisa,2014,F,285
936,Marleigh,2014,F,285
937,Alisson,2014,F,284
938,Maliah,2014,F,284
939,Mercy,2014,F,284
940,Noa,2014,F,284
941,Scarlette,2014,F,284
942,Clementine,2014,F,283
943,Frida,2014,F,283
944,Ann,2014,F,282
945,Sonia,2014,F,282
946,Alannah,2014,F,281
947,Avalynn,2014,F,281
948,Dalia,2014,F,281
949,Ayva,2014,F,280
950,Stevie,2014,F,280
951,Judith,2014,F,279
952,Paulina,2014,F,279
953,Azariah,2014,F,278
954,Estella,2014,F,278
955,Remy,2014,F,278
956,Gwen,2014,F,277
957,Mattie,2014,F,277
958,Milani,2014,F,277
959,Raina,2014,F,277
960,Julieta,2014,F,276
961,Renee,2014,F,276
962,Lesly,2014,F,275
963,Abrielle,2014,F,274
964,Bryn,2014,F,274
965,Carlie,2014,F,274
966,Riya,2014,F,274
967,Karter,2014,F,273
968,Abril,2014,F,272
969,Aubrianna,2014,F,272
970,Jocelynn,2014,F,271
971,Kylah,2014,F,271
972,Louisa,2014,F,271
